序号,时间,名称
285,"17.03.2024
10:22","Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control"
94,"17.03.2024
06:26",Accelerating Matlab with GPUs. A Primer with Examples
95,"17.03.2024
06:25",CUDA programming: A developer's guide to parallel computing with GPUs
96,"17.03.2024
06:25",Modern Data Mining Algorithms in C++ and CUDA C: Recent Developments in Feature Extraction and Selection Algorithms for Data Science
97,"17.03.2024
06:24",GPU Parallel Program Development Using CUDA
98,"17.03.2024
06:24","Parallel Computing for Data Science - With Examples in R, C++ and CUDA"
99,"17.03.2024
06:24",Deep Belief Nets in C++ and CUDA C volume 1 Restricted Boltzmann Machines and Supervised Feedforward Networks
100,"17.03.2024
06:24",CUDA C++ Best Practices Guide
101,"17.03.2024
06:24",CUDA C++ Programming Guide
102,"17.03.2024
06:13",CUDA Fortran for Scientists and Engineers. Best Practices for Efficient CUDA Fortran Programming
103,"17.03.2024
06:10",醉汉的脚步
144,"17.02.2024
11:49",An Introduction to Statistical Learning: with Applications in Python
12,"16.05.2024
16:42",Algorithms to Live By: The Computer Science of Human Decisions
62,"16.05.2024
08:12",A History of Mathematics: From Mesopotamia to Modernity
63,"16.05.2024
08:12",A History of Mathematics: An Introduction
64,"16.05.2024
08:12",数学沉思录：古今数学思想的发展与演变
65,"16.05.2024
05:58",数学在19世纪的发展（第一卷）
66,"16.05.2024
05:58",数学在19世纪的发展（第二卷）
67,"16.05.2024
05:48",无知的游历
68,"16.05.2024
05:48",退步集
69,"16.05.2024
05:48",局部（全3册）
70,"16.05.2024
05:45",陈丹青精选作品集（7册装）
71,"16.05.2024
05:45",木心全集（典藏套装十六册）【（依据“晚年定稿”，还原木心作品本貌，完整作品首次集结成套，收录陈丹青“听课笔记”手稿内容 理想国出品）】
173,"16.04.2024
18:46",Mathematics — The Music of Reason
174,"16.04.2024
07:33","Understanding Vision: Theory, Models, and Data"
175,"16.04.2024
05:32","MATLAB Deep Learning: With Machine Learning, Neural Networks and Artificial Intelligence"
176,"16.04.2024
05:32",Digital Signal and Image Processing Using MATLAB
177,"16.04.2024
05:29",Advanced engineering mathematics with MATLAB
178,"16.04.2024
05:28",MATLAB: A Practical Introduction to Programming and Problem Solving
179,"16.04.2024
05:27",Essential MATLAB for Engineers and Scientists
180,"16.04.2024
05:27","Digital signal and image processing using MATLAB®. Volume 3, Advances and applications : the Stochastic case"
181,"16.04.2024
05:27","Digital Signal and Image Processing using MATLAB, Volume 2: Advances and Applications: The Deterministic Case"
182,"16.04.2024
05:27",Signals and Systems Using MATLAB
72,"15.05.2024
06:11",近世数学史谈
73,"15.05.2024
06:04",Data Science with Julia
74,"15.05.2024
06:04",Julia - Bit by Bit: Programming for Beginners (Undergraduate Topics in Computer Science)
75,"15.05.2024
06:04","Statistics with Julia: Fundamentals for Data Science, Machine Learning and Artificial Intelligence"
104,"15.03.2024
16:52",偏微分方程
145,"15.02.2024
06:42",An Elementary Introduction to the Wolfram Language
146,"15.02.2024
06:41",Julia for Beginners
147,"15.02.2024
06:41",Beginning Julia Programming for Engineers and Scientists
148,"15.02.2024
06:32",Rust for Rustaceans: Idiomatic Programming for Experienced Developers (Final Release)
149,"15.02.2024
06:32",Rust in Action: Systems programming concepts and techniques
150,"15.02.2024
06:32",Beginning Rust: From Novice to Professional
151,"15.02.2024
06:32",Programming Rust
152,"15.02.2024
06:32",The Rust Programming Language (Covers Rust 2018)
76,"14.05.2024
18:09",彭加勒
77,"14.05.2024
18:05",无穷分析引论(上下)
78,"14.05.2024
18:04",The History of Mathematics: An Introduction
79,"14.05.2024
17:35",数学杂谈
80,"14.05.2024
17:35",代数基本概念
81,"14.05.2024
17:34",泛函分析史(with bookmark)
82,"14.05.2024
17:34",对称的观念在19世纪的演变: Klein和Lie
83,"14.05.2024
17:34",Langlands纲领和他的数学世界
84,"14.05.2024
17:33","惠更斯与巴罗, 牛顿与胡克: 数学分析与突变理论的起步, 从渐伸线到准晶体"
85,"14.05.2024
05:13","Algorithms with JULIA: Optimization, Machine Learning, and Differential Equations Using the JULIA Language"
303,"14.02.2024
09:29",Linux命令行与shell脚本编程大全.第3版
86,"13.05.2024
09:26",Computer Graphics from Scratch: A Programmer's Introduction to 3D Rendering
87,"13.05.2024
09:26",Deep Learning and Physics
88,"13.05.2024
09:26",Physics-based Deep Learning
89,"13.05.2024
09:26",Machine Learning for the Physical Sciences: Fundamentals and Prototyping with Julia
90,"13.05.2024
09:25",AI for Physics: Machine Learning the World from Nuclear to Cosmic Scales
91,"13.05.2024
09:25",Deep Learning for Physics Research
92,"13.05.2024
09:07",王志安谈治国理政 第一卷
93,"13.05.2024
04:18",The Little Book of Deep Learning
105,"13.03.2024
11:17",An Introduction To Statistical Learning: With Applications In R (Second Edition)
106,"13.03.2024
10:51",统计学习导论:基于R应用
153,"13.02.2024
19:09",Linux命令行与shell脚本编程大全.第3版
154,"13.02.2024
02:11",Linux in Action
13,"10.05.2024
18:15",埃隆·马斯克传
14,"10.05.2024
18:12",艾伦·图灵传
15,"10.05.2024
18:12",爱因斯坦传
16,"10.05.2024
18:06",阿西莫夫科幻圣经银河帝国1-15大全集被马斯克用火箭送上太空的神作讲述人类未来两万年的历史。人类想象力的极限
17,"10.05.2024
14:36","Zero to One: Notes on Startups, or How to Build the Future, highlighted"
18,"10.05.2024
14:36",從0到1：打開世界運作的未知祕密，在意想不到之處發現價值
94,"10.05.2024
14:30",游戏玩家【“文明”系列造梦之作，献给所有为奇异想象心跳加速、彻夜难眠的你！】 (伊恩·M.班克斯“文明”系列)
